Clave,Estado,Municipio,Poblacion,P_PobrezaAlimentaria
30024,Veracruz,Tlaltetela," 13,594 ",65.1
30076,Veracruz,Ilamatl n," 13,319 ",67.5
30154,Veracruz,Tantima," 13,248 ",57.5
30202,Veracruz,Zontecomatl n de L¢pez y Fuentes," 13,091 ",74.1
30057,Veracruz,Chiconquiaco," 12,516 ",58.0
30203,Veracruz,Zozocolco de Hidalgo," 12,455 ",58.5
30209,Veracruz,Tatahuicapan de Ju rez," 12,350 ",61.7
30168,Veracruz,Tequila," 12,206 ",58.7
30103,Veracruz,Mecatl n," 11,256 ",58.9
30180,Veracruz,Tlachichilco," 10,729 ",65.4
30170,Veracruz,Texcatepec," 9,733 ",72.7
30110,Veracruz,Mixtla de Altamirano," 9,572 ",62.7
30177,Veracruz,Tlacolulan," 9,420 ",55.8
30020,Veracruz,Atlahuilco," 9,038 ",64.9
30008,Veracruz,Alpatl huac," 8,988 ",61.4
30165,Veracruz,Tepatlaxco," 7,618 ",56.2
30037,Veracruz,Coahuitl n," 7,243 ",60.5
30056,Veracruz,Chiconamel," 6,811 ",62.1
30184,Veracruz,Tlaquilpa," 6,554 ",66.0
30162,Veracruz,Tenampa," 5,646 ",62.6
30187,Veracruz,Tonay n," 5,293 ",63.7
30163,Veracruz,Tenochtitl n," 4,995 ",56.9
30019,Veracruz,Astacinga," 4,846 ",62.1
30171,Veracruz,Texhuac n," 4,740 ",55.2
30195,Veracruz,Xoxocotla," 4,641 ",63.7
30107,Veracruz,Las Minas," 2,824 ",63.5
30098,Veracruz,Magdalena," 2,649 ",60.0
